Team,League,Year,wins,runs,on_base,slugging,batting_avg,opp_runs,opp_on_base,opp_slugging
WSN,NL,2006,71,746,0.338,0.418,0.262,872,0.349,0.447
ARI,NL,2005,77,696,0.332,0.421,0.256,856,0.345,0.455
ATL,NL,2005,90,769,0.333,0.435,0.265,674,0.333,0.406
BAL,AL,2005,74,729,0.327,0.434,0.269,800,0.336,0.416
BOS,AL,2005,95,910,0.357,0.454,0.281,805,0.335,0.441
CHC,NL,2005,79,703,0.324,0.44,0.27,714,0.325,0.407
CHW,AL,2005,99,741,0.322,0.425,0.262,645,0.31,0.397
CIN,NL,2005,73,820,0.339,0.446,0.261,889,0.352,0.483
CLE,AL,2005,93,790,0.334,0.453,0.271,642,0.302,0.387
COL,NL,2005,67,740,0.333,0.411,0.267,862,0.362,0.457
DET,AL,2005,71,723,0.321,0.428,0.272,787,0.33,0.436
FLA,NL,2005,83,717,0.339,0.409,0.272,732,0.339,0.402
HOU,NL,2005,89,693,0.322,0.408,0.256,609,0.308,0.389
KCR,AL,2005,56,701,0.32,0.396,0.263,935,0.362,0.463
LAA,AL,2005,95,761,0.325,0.409,0.27,643,0.312,0.401
LAD,NL,2005,71,685,0.326,0.395,0.253,755,0.327,0.429
MIL,NL,2005,81,726,0.331,0.423,0.259,697,0.324,0.408
MIN,AL,2005,83,688,0.323,0.391,0.259,662,0.307,0.408
NYM,NL,2005,83,722,0.322,0.416,0.258,648,0.321,0.387
NYY,AL,2005,95,886,0.355,0.45,0.276,789,0.332,0.422
OAK,AL,2005,88,772,0.33,0.407,0.262,658,0.311,0.382
PHI,NL,2005,88,807,0.348,0.423,0.27,726,0.32,0.426
PIT,NL,2005,67,680,0.322,0.4,0.259,769,0.344,0.424
SDP,NL,2005,82,684,0.333,0.391,0.257,726,0.322,0.408
SEA,AL,2005,69,699,0.317,0.391,0.256,751,0.332,0.422
SFG,NL,2005,75,649,0.319,0.396,0.261,745,0.336,0.412
STL,NL,2005,100,805,0.339,0.423,0.27,634,0.318,0.398
TBD,AL,2005,67,750,0.329,0.425,0.274,936,0.355,0.455
TEX,AL,2005,79,865,0.329,0.468,0.267,858,0.343,0.428
TOR,AL,2005,80,775,0.331,0.407,0.265,705,0.324,0.418
WSN,NL,2005,81,639,0.322,0.386,0.252,673,0.333,0.396
ANA,AL,2004,92,836,0.341,0.429,0.282,734,0.326,0.415
ARI,NL,2004,51,615,0.31,0.393,0.253,899,0.35,0.439
ATL,NL,2004,96,803,0.343,0.434,0.27,668,0.329,0.4
BAL,AL,2004,78,842,0.345,0.432,0.281,830,0.348,0.404
BOS,AL,2004,98,949,0.36,0.472,0.282,768,0.318,0.408
CHC,NL,2004,89,789,0.328,0.458,0.268,665,0.321,0.395
CHW,AL,2004,83,865,0.333,0.457,0.268,831,0.338,0.453
CIN,NL,2004,76,750,0.331,0.418,0.25,907,0.348,0.481
CLE,AL,2004,80,858,0.351,0.444,0.276,857,0.342,0.445
COL,NL,2004,68,833,0.345,0.455,0.275,923,0.372,0.471
DET,AL,2004,72,827,0.337,0.449,0.272,844,0.34,0.441
FLA,NL,2004,83,718,0.329,0.406,0.264,700,0.324,0.412
HOU,NL,2004,92,803,0.342,0.436,0.267,698,0.328,0.417
KCR,AL,2004,58,720,0.322,0.397,0.259,905,0.352,0.476
LAD,NL,2004,93,761,0.332,0.423,0.262,684,0.323,0.408
MIL,NL,2004,67,634,0.321,0.387,0.248,757,0.32,0.417
MIN,AL,2004,92,780,0.332,0.431,0.266,715,0.323,0.406
MON,NL,2004,67,635,0.313,0.392,0.249,769,0.342,0.431
NYM,NL,2004,71,684,0.317,0.409,0.249,731,0.335,0.405
NYY,AL,2004,101,897,0.353,0.458,0.268,808,0.328,0.432
OAK,AL,2004,91,793,0.343,0.433,0.27,742,0.332,0.409
PHI,NL,2004,86,840,0.345,0.443,0.267,781,0.33,0.448
PIT,NL,2004,72,680,0.321,0.401,0.26,744,0.342,0.416
SDP,NL,2004,87,768,0.342,0.414,0.273,705,0.318,0.431
SEA,AL,2004,63,698,0.331,0.396,0.27,823,0.338,0.441
SFG,NL,2004,91,850,0.357,0.438,0.27,770,0.332,0.423
STL,NL,2004,105,855,0.344,0.46,0.278,659,0.313,0.403
TBD,AL,2004,70,714,0.32,0.405,0.258,842,0.342,0.438
TEX,AL,2004,89,860,0.329,0.457,0.266,794,0.344,0.432
TOR,AL,2004,67,719,0.328,0.403,0.26,823,0.348,0.434
ANA,AL,2003,77,736,0.33,0.413,0.268,743,0.327,0.421
ARI,NL,2003,84,717,0.33,0.417,0.263,685,0.322,0.388
ATL,NL,2003,101,907,0.349,0.475,0.284,740,0.327,0.401
BAL,AL,2003,71,743,0.323,0.405,0.268,820,0.346,0.446
BOS,AL,2003,95,961,0.36,0.491,0.289,809,0.327,0.415
CHC,NL,2003,88,724,0.323,0.416,0.259,683,0.324,0.372
CHW,AL,2003,86,791,0.331,0.446,0.263,715,0.322,0.404
CIN,NL,2003,69,694,0.318,0.395,0.245,886,0.349,0.463
CLE,AL,2003,68,699,0.316,0.401,0.254,778,0.329,0.426
COL,NL,2003,74,853,0.344,0.445,0.267,892,0.359,0.47
DET,AL,2003,43,591,0.3,0.375,0.24,928,0.352,0.461
FLA,NL,2003,91,751,0.333,0.421,0.266,692,0.325,0.396
HOU,NL,2003,87,805,0.336,0.431,0.263,677,0.326,0.397
KCR,AL,2003,83,836,0.336,0.427,0.274,867,0.348,0.45
LAD,NL,2003,85,574,0.303,0.368,0.243,556,0.306,0.354
MIL,NL,2003,68,714,0.329,0.419,0.256,873,0.348,0.462
MIN,AL,2003,90,801,0.341,0.431,0.277,758,0.319,0.428
MON,NL,2003,83,711,0.326,0.401,0.258,716,0.327,0.423
NYM,NL,2003,66,642,0.314,0.374,0.247,754,0.345,0.438
NYY,AL,2003,101,877,0.356,0.453,0.271,716,0.314,0.407
OAK,AL,2003,96,768,0.327,0.417,0.254,643,0.314,0.376
PHI,NL,2003,86,791,0.343,0.419,0.261,697,0.327,0.401
PIT,NL,2003,75,753,0.338,0.42,0.267,801,0.336,0.431
SDP,NL,2003,64,678,0.333,0.388,0.261,831,0.341,0.437
SEA,AL,2003,93,795,0.344,0.41,0.271,637,0.311,0.388
SFG,NL,2003,100,755,0.338,0.425,0.264,638,0.321,0.386
STL,NL,2003,85,876,0.35,0.454,0.279,796,0.336,0.452
TBD,AL,2003,63,715,0.32,0.404,0.265,852,0.347,0.44
TEX,AL,2003,71,826,0.33,0.454,0.266,969,0.36,0.473
TOR,AL,2003,86,894,0.349,0.455,0.279,826,0.337,0.441
ANA,AL,2002,99,851,0.341,0.433,0.282,644,0.314,0.392
ARI,NL,2002,98,819,0.346,0.423,0.267,674,0.305,0.397
ATL,NL,2002,101,708,0.331,0.409,0.26,565,0.313,0.364
BAL,AL,2002,67,667,0.309,0.403,0.246,773,0.336,0.435
BOS,AL,2002,93,859,0.345,0.444,0.277,665,0.308,0.385
CHC,NL,2002,67,706,0.321,0.413,0.246,759,0.331,0.407
CHW,AL,2002,81,856,0.338,0.449,0.268,798,0.33,0.423
CIN,NL,2002,78,709,0.33,0.408,0.253,774,0.338,0.426
CLE,AL,2002,74,739,0.321,0.412,0.249,837,0.348,0.423
COL,NL,2002,73,778,0.337,0.423,0.274,898,0.349,0.466
DET,AL,2002,55,575,0.3,0.379,0.248,864,0.343,0.455
FLA,NL,2002,79,699,0.337,0.403,0.261,763,0.341,0.415
HOU,NL,2002,84,749,0.338,0.417,0.262,695,0.33,0.41
KCR,AL,2002,62,737,0.323,0.398,0.256,891,0.349,0.464
LAD,NL,2002,92,713,0.32,0.409,0.264,643,0.315,0.387
MIL,NL,2002,56,627,0.32,0.39,0.253,821,0.352,0.442
MIN,AL,2002,94,768,0.332,0.437,0.272,712,0.318,0.421
MON,NL,2002,83,735,0.334,0.418,0.261,718,0.329,0.421
NYM,NL,2002,75,690,0.322,0.395,0.256,703,0.327,0.403
NYY,AL,2002,103,897,0.354,0.455,0.275,697,0.309,0.395
OAK,AL,2002,103,800,0.339,0.432,0.261,654,0.315,0.384
PHI,NL,2002,80,710,0.339,0.422,0.259,724,0.328,0.401
PIT,NL,2002,72,641,0.319,0.381,0.244,730,0.342,0.423
SDP,NL,2002,66,662,0.321,0.381,0.253,815,0.346,0.442
SEA,AL,2002,93,814,0.35,0.419,0.275,699,0.315,0.41
SFG,NL,2002,95,783,0.344,0.442,0.267,616,0.319,0.372
STL,NL,2002,97,787,0.338,0.425,0.268,648,0.323,0.386
TBD,AL,2002,55,673,0.314,0.39,0.253,918,0.357,0.463
TEX,AL,2002,72,843,0.338,0.455,0.269,882,0.355,0.451
TOR,AL,2002,78,813,0.327,0.43,0.261,828,0.344,0.431
ANA,AL,2001,75,691,0.327,0.405,0.261,730,0.331,0.412
ARI,NL,2001,92,818,0.341,0.442,0.267,677,0.311,0.404
ATL,NL,2001,88,729,0.324,0.412,0.26,643,0.314,0.384
BAL,AL,2001,63,687,0.319,0.38,0.248,829,0.337,0.439
BOS,AL,2001,82,772,0.334,0.439,0.266,745,0.329,0.393
CHC,NL,2001,88,777,0.336,0.43,0.261,701,0.321,0.398
CHW,AL,2001,83,798,0.334,0.451,0.268,795,0.334,0.427
CIN,NL,2001,66,735,0.324,0.419,0.262,850,0.341,0.455
CLE,AL,2001,91,897,0.35,0.458,0.278,821,0.341,0.417
COL,NL,2001,73,923,0.354,0.483,0.292,906,0.35,0.48
DET,AL,2001,66,724,0.32,0.409,0.26,876,0.357,0.461
FLA,NL,2001,76,742,0.326,0.423,0.264,744,0.338,0.411
HOU,NL,2001,93,847,0.347,0.451,0.271,769,0.325,0.437
KCR,AL,2001,65,729,0.318,0.409,0.266,858,0.348,0.45
LAD,NL,2001,86,758,0.323,0.425,0.255,744,0.323,0.411
MIL,NL,2001,68,740,0.319,0.426,0.251,806,0.35,0.44
MIN,AL,2001,85,771,0.337,0.433,0.272,766,0.325,0.437
MON,NL,2001,68,670,0.319,0.396,0.253,812,0.339,0.441
NYM,NL,2001,82,642,0.323,0.387,0.249,713,0.314,0.419
NYY,AL,2001,95,804,0.334,0.435,0.267,713,0.318,0.398
OAK,AL,2001,102,884,0.345,0.439,0.264,645,0.308,0.38
PHI,NL,2001,86,746,0.329,0.414,0.26,719,0.329,0.424
PIT,NL,2001,62,657,0.313,0.393,0.247,858,0.344,0.433
SDP,NL,2001,79,789,0.336,0.399,0.252,812,0.33,0.45
SEA,AL,2001,116,927,0.36,0.445,0.288,627,0.301,0.378
SFG,NL,2001,90,799,0.342,0.46,0.266,748,0.329,0.404
STL,NL,2001,93,814,0.339,0.441,0.27,684,0.328,0.428
TBD,AL,2001,62,672,0.32,0.388,0.258,887,0.345,0.452
TEX,AL,2001,73,890,0.344,0.471,0.275,968,0.362,0.494
TOR,AL,2001,80,767,0.325,0.43,0.263,753,0.339,0.435
ANA,AL,2000,82,864,0.352,0.472,0.28,869,0.351,0.453
ARI,NL,2000,85,792,0.333,0.429,0.265,754,0.326,0.424
ATL,NL,2000,95,810,0.346,0.429,0.271,714,0.319,0.402
BAL,AL,2000,74,794,0.341,0.435,0.272,913,0.352,0.449
BOS,AL,2000,85,792,0.341,0.423,0.267,745,0.322,0.411
CHC,NL,2000,65,764,0.335,0.411,0.256,904,0.348,0.452
CHW,AL,2000,95,978,0.356,0.47,0.286,839,0.346,0.434
CIN,NL,2000,85,825,0.343,0.447,0.274,765,0.341,0.438
CLE,AL,2000,90,950,0.367,0.47,0.288,816,0.35,0.425
COL,NL,2000,82,968,0.362,0.455,0.294,897,0.354,0.471
DET,AL,2000,79,823,0.343,0.438,0.275,827,0.34,0.443
FLA,NL,2000,79,731,0.331,0.409,0.262,797,0.348,0.429
HOU,NL,2000,72,938,0.361,0.477,0.278,944,0.353,0.476
KCR,AL,2000,77,879,0.348,0.425,0.288,930,0.362,0.474
LAD,NL,2000,86,798,0.341,0.431,0.257,729,0.332,0.407
MIL,NL,2000,73,740,0.325,0.403,0.246,826,0.357,0.42
MIN,AL,2000,69,748,0.337,0.407,0.27,880,0.347,0.466
MON,NL,2000,67,738,0.326,0.432,0.266,902,0.353,0.449
NYM,NL,2000,94,807,0.346,0.43,0.263,738,0.327,0.403
NYY,AL,2000,87,871,0.354,0.45,0.277,814,0.336,0.422
OAK,AL,2000,91,947,0.36,0.458,0.27,813,0.348,0.423
PHI,NL,2000,65,708,0.329,0.4,0.251,830,0.343,0.448
PIT,NL,2000,69,793,0.339,0.424,0.267,888,0.361,0.432
SDP,NL,2000,76,752,0.33,0.402,0.254,815,0.34,0.416
SEA,AL,2000,91,907,0.361,0.442,0.269,780,0.339,0.416
SFG,NL,2000,97,925,0.362,0.472,0.278,747,0.342,0.412
STL,NL,2000,95,887,0.356,0.455,0.27,771,0.338,0.434
TBD,AL,2000,69,733,0.329,0.399,0.257,842,0.345,0.451
TEX,AL,2000,71,848,0.352,0.446,0.283,974,0.369,0.475
TOR,AL,2000,83,861,0.341,0.469,0.275,908,0.354,0.456
ANA,AL,1999,70,711,0.322,0.395,0.256,826,0.346,0.427
ARI,NL,1999,100,908,0.347,0.459,0.277,676,0.32,0.402
ATL,NL,1999,103,840,0.341,0.436,0.266,661,0.314,0.377
BAL,AL,1999,78,851,0.353,0.447,0.279,815,0.35,0.441
BOS,AL,1999,94,836,0.35,0.448,0.278,718,0.315,0.398
CHC,NL,1999,67,747,0.329,0.42,0.257,920,0.346,0.467
CHW,AL,1999,75,777,0.337,0.429,0.277,870,0.353,0.447
CIN,NL,1999,96,865,0.341,0.451,0.272,711,0.324,0.411
CLE,AL,1999,97,1009,0.373,0.467,0.289,860,0.347,0.439
COL,NL,1999,72,906,0.348,0.472,0.288,1028,0.384,0.499
DET,AL,1999,69,747,0.326,0.443,0.261,882,0.349,0.451
FLA,NL,1999,64,691,0.325,0.395,0.263,852,0.359,0.44
HOU,NL,1999,97,823,0.355,0.42,0.267,675,0.326,0.397
KCR,AL,1999,64,856,0.348,0.433,0.282,921,0.365,0.454
LAD,NL,1999,77,793,0.339,0.42,0.266,787,0.336,0.422
MIL,NL,1999,74,815,0.353,0.426,0.273,886,0.356,0.457
MIN,AL,1999,63,686,0.328,0.384,0.264,845,0.342,0.465
MON,NL,1999,68,718,0.323,0.427,0.265,853,0.342,0.418
NYM,NL,1999,97,853,0.363,0.434,0.279,711,0.331,0.418
NYY,AL,1999,98,900,0.366,0.453,0.282,731,0.329,0.4
OAK,AL,1999,87,893,0.355,0.446,0.259,846,0.344,0.428
PHI,NL,1999,77,841,0.351,0.431,0.275,846,0.347,0.447
PIT,NL,1999,78,775,0.334,0.419,0.259,782,0.343,0.42
SDP,NL,1999,74,710,0.332,0.393,0.252,781,0.333,0.43
SEA,AL,1999,79,859,0.343,0.455,0.269,905,0.368,0.454
SFG,NL,1999,86,872,0.356,0.434,0.271,831,0.345,0.423
STL,NL,1999,75,809,0.338,0.426,0.262,838,0.355,0.427
TBD,AL,1999,69,772,0.343,0.411,0.274,913,0.371,0.448
TEX,AL,1999,95,945,0.361,0.479,0.293,859,0.346,0.459
TOR,AL,1999,84,883,0.352,0.457,0.28,862,0.353,0.456