Shelf,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Potassium,Serving_Size
Top,50,1,0,0,0,13,0,15,1
Top,110,2,0,220,1,21,3,30,1
Top,110,2,1,200,0,21,3,35,1
Top,100,3,0,320,1,20,3,45,1
Top,50,2,0,0,1,10,0,50,1
Top,110,2,1,170,1,17,6,60,1
Top,110,2,1,250,0,21,3,60,0.75
Top,100,2,0,190,1,18,5,80,0.75
Top,100,3,1,140,3,15,5,85,0.88
Top,110,3,0,170,3,17,3,90,0.25
Top,90,3,0,170,3,18,2,90,1
Top,140,3,1,170,2,20,9,95,0.75
Top,130,3,2,210,2,18,8,100,0.75
Top,120,3,3,75,3,13,4,100,0.33
Top,110,3,2,140,2,13,7,105,0.5
Top,100,4,1,135,2,14,6,110,0.5
Top,90,2,0,0,2,15,6,110,0.5
Top,100,3,1,200,3,16,3,110,1
Top,100,2,1,140,2,11,10,120,0.75
Top,130,3,2,170,1.5,13.5,10,120,0.5
Top,140,3,2,220,3,21,7,130,0.67
Top,120,3,5,15,2,8,8,135,1
Top,100,3,2,140,2.5,10.5,8,140,0.5
Top,110,3,3,140,4,10,7,160,0.5
Top,160,3,2,150,3,17,13,160,0.67
Top,150,4,3,95,3,16,11,170,1
Top,150,4,3,150,3,16,11,170,1
Top,90,3,0,210,5,13,5,190,0.67
Top,120,3,0,240,5,14,12,190,0.67
Top,120,3,2,160,5,12,10,200,0.67
Top,140,3,1,190,4,15,14,230,1
Top,120,3,1,200,6,11,14,260,0.67
Top,70,4,1,130,10,5,6,280,0.33
Top,70,4,1,260,9,7,5,320,0.33
Top,50,4,0,140,14,8,0,330,0.5
Middle,110,1,0,90,1,13,12,20,1
Middle,110,1,1,135,0,13,12,25,0.75
Middle,110,1,1,140,0,13,12,25,1
Middle,110,2,0,125,1,11,14,30,1
Middle,110,2,1,125,1,11,13,30,1
Middle,120,1,2,220,0,12,12,35,0.75
Middle,110,2,1,260,0,21,3,40,1.5
Middle,120,2,1,190,0,15,9,40,0.67
Middle,110,2,1,70,1,9,15,40,0.75
Middle,120,1,3,210,0,13,9,45,0.75
Middle,110,1,1,280,0,15,9,45,0.75
Middle,120,1,2,220,1,12,11,45,1
Middle,110,1,1,180,0,12,13,55,1
Middle,110,2,1,180,0,12,12,55,1
Middle,110,1,1,180,0,12,13,65,1
Middle,90,2,0,15,3,15,5,90,1
Middle,100,4,2,150,2,12,6,95,0.67
Middle,100,4,1,0,0,16,3,95,1
Middle,100,3,0,0,3,14,7,100,0.8
Middle,120,3,1,210,5,14,12,240,0.75
Bottom,110,2,0,280,0,22,3,25,1
Bottom,110,1,0,200,1,14,11,25,0.75
Bottom,110,1,0,240,0,23,2,30,1.13
Bottom,100,2,0,290,1,21,2,35,1
Bottom,110,1,0,180,0,14,11,35,1.33
Bottom,110,2,0,290,0,22,3,35,1
Bottom,100,2,0,45,0,11,15,40,0.88
Bottom,110,6,0,230,1,16,3,55,1
Bottom,110,2,1,200,1,16,8,60,0.75
Bottom,110,2,2,180,1.5,10.5,10,70,0.75
Bottom,110,3,1,250,1.5,11.5,10,90,0.75
Bottom,100,2,1,220,2,15,6,90,1
Bottom,80,2,0,0,3,16,0,95,1
Bottom,110,6,2,290,2,17,1,105,1.25
Bottom,100,5,2,0,2.7,,,110,0.67
Bottom,100,3,1,200,3,17,3,110,1
Bottom,100,3,1,230,3,17,3,115,0.67
Bottom,90,3,0,0,3,20,0,120,0.67
Bottom,90,2,1,200,4,15,6,125,0.67
Bottom,90,3,0,0,4,19,0,140,0.67