Subject,treatment,color,level,mov_time
1,1,red,low,125
1,2,white,low,121
1,3,red,med,131
1,4,white,med,124
1,5,red,high,110
1,6,white,high,120
2,1,red,low,178
2,2,white,low,183
2,3,red,med,156
2,4,white,med,175
2,5,red,high,169
2,6,white,high,168
3,1,red,low,178
3,2,white,low,167
3,3,red,med,159
3,4,white,med,157
3,5,red,high,167
3,6,white,high,166
4,1,red,low,147
4,2,white,low,126
4,3,red,med,147
4,4,white,med,146
4,5,red,high,150
4,6,white,high,136
5,1,red,low,144
5,2,white,low,153
5,3,red,med,162
5,4,white,med,171
5,5,red,high,157
5,6,white,high,163