State,median_household_income,avg_teacher_salary,pct_hs_deg,pct_unemployed,pct_cities,pct_nonwhite,pct_trump,crime_rate,vcrime_rate,hcrime_rate
Alabama,42278,49375,0.821,0.06,0.64,0.35,0.63,3605,427.4,1.806410489
Alaska,67629,65891,0.914,0.064,0.63,0.42,0.53,3395.8,635.8,1.656700109
Arizona,49254,45335,0.842,0.063,0.9,0.49,0.5,3597.4,399.9,3.413927994
Arkansas,44922,48493,0.824,0.052,0.69,0.26,0.6,3818.1,480.1,0.869208872
California,60487,71396,0.806,0.059,0.97,0.61,0.33,2837.2,396.1,2.397985899
Colorado,60940,49615,0.893,0.04,0.8,0.31,0.44,2839.2,309.1,2.804688765
Connecticut,70161,70583,0.886,0.052,0.94,0.3,0.41,2157.3,236.9,3.772701469
Delaware,57522,59305,0.874,0.049,0.9,0.37,0.42,3471.1,489.1,1.469979563
Florida,46140,47780,0.853,0.052,0.96,0.46,0.49,3956,540.5,0.698070342
Georgia,49555,53560,0.839,0.058,0.82,0.48,0.51,3658.5,377.3,0.412011824
Idaho,53438,44465,0.884,0.042,0.7,0.16,0.59,2067,212.2,1.891330529
Illinois,54916,60124,0.864,0.054,0.9,0.37,0.39,2445.9,370,1.044015798
Indiana,48060,50289,0.866,0.044,0.79,0.2,0.57,3014.7,365.3,1.757356567
Iowa,57810,51744,0.914,0.036,0.6,0.15,0.52,2367.3,273.5,0.561395565
Kansas,53444,48221,0.897,0.044,0.64,0.25,0.57,3083.8,348.6,2.143986672
Kentucky,42786,50949,0.817,0.05,0.56,0.15,0.63,2458.5,211.6,4.207889621
Louisiana,42406,49067,0.822,0.06,0.81,0.42,0.58,3973.5,514.7,1.341169554
Maine,51710,48702,0.902,0.044,0.54,0.09,0.45,2114.2,127.8,2.626610924
Maryland,76165,65363,0.89,0.051,0.97,0.5,0.35,2953.6,446.1,1.324839538
Massachusetts,63151,73195,0.89,0.046,0.97,0.27,0.34,2248.5,391.4,4.801899339
Michigan,52005,62166,0.879,0.05,0.87,0.24,0.48,2471.2,427.3,3.200442266
Minnesota,67244,54752,0.915,0.038,0.75,0.18,0.45,2526.6,229.1,3.612411816
Mississippi,35521,42187,0.804,0.061,0.45,0.44,0.58,3199.7,278.5,0.622745989
Missouri,56630,46750,0.868,0.053,0.78,0.2,0.57,3349.4,442.9,1.908954989
Montana,51102,49893,0.908,0.041,0.34,0.1,0.57,2796.6,323.7,2.954959378
Nebraska,56870,49662,0.898,0.029,0.6,0.21,0.6,2803.9,280.4,2.68624842
Nevada,49875,55813,0.839,0.067,0.87,0.5,0.46,3261,635.6,2.113990154
New Hampshire,73397,57057,0.913,0.034,0.63,0.09,0.47,2158.8,196.1,2.105988585
New Jersey,65243,70043,0.874,0.056,1,0.44,0.42,1995.3,261.2,4.413202591
New Mexico,46686,46426,0.828,0.068,0.69,0.62,0.4,4139.7,597.4,1.886435184
New York,54310,76409,0.847,0.051,0.94,0.42,0.37,2100,381.8,3.102164284
North Carolina,46784,44990,0.843,0.058,0.76,0.38,0.51,3202.6,329.5,1.262679796
North Dakota,60730,48666,0.901,0.028,0.5,0.15,0.64,2375.4,265.1,4.741069885
Ohio,49644,54858,0.876,0.045,0.75,0.21,0.52,3084,284.9,3.240420404
Oklahoma,47199,45529,0.856,0.044,0.59,0.35,0.65,3396.7,406,1.08167215
Oregon,58875,59333,0.891,0.062,0.87,0.26,0.41,3111.3,232.3,3.394886113
Pennsylvania,55173,63701,0.879,0.053,0.87,0.24,0.49,2245.8,314.1,0.43092759
Rhode Island,58633,64696,0.847,0.054,1,0.28,0.4,2392.8,219.2,1.282571834
South Carolina,44929,47198,0.836,0.057,0.79,0.36,0.55,3958,497.7,1.937082833
South Dakota,53053,40259,0.899,0.035,0.51,0.17,0.62,2190.4,326.5,3.301737127
Tennessee,43716,47742,0.831,0.057,0.82,0.27,0.61,3669,608.4,3.13605115
Texas,53875,50213,0.799,0.042,0.92,0.56,0.53,3425.3,405.9,0.752768305
Utah,63383,45654,0.904,0.036,0.82,0.19,0.47,3094.1,215.6,2.384065044
Vermont,60708,55958,0.91,0.037,0.35,0.06,0.33,1623.7,99.3,1.90308139
Virginia,66155,49826,0.866,0.043,0.89,0.38,0.45,2126.5,196.2,1.724754584
Washington,59068,53512,0.897,0.052,0.86,0.31,0.38,3991.3,285.2,3.817740296
West Virginia,39552,45887,0.828,0.073,0.55,0.07,0.69,2336.7,302,2.037053631
Wisconsin,58080,54648,0.898,0.043,0.69,0.22,0.48,2378.6,290.3,1.121944651
Wyoming,55690,57318,0.918,0.04,0.31,0.15,0.7,2160.2,195.5,0.26694076